index,cluster,psnr_standard,psnr_optimized,bpp_standard,bpp_optimized,bpp_uncompressed,ssim_standard,ssim_optimized
705,8,37.85578581,38.42222755,0.852718353,0.959812164,8,0.969372814,0.973743662
706,4,32.28320013,32.54959255,1.77986145,1.839668274,8,0.924843194,0.931611266
707,6,36.85907396,37.41115835,0.904685974,1.040538788,8,0.97784697,0.981671499
708,6,39.47761841,40.37899496,0.782459259,0.934120178,8,0.962177277,0.970086674
709,4,34.19950989,34.41652403,1.384933472,1.434562683,8,0.950095638,0.953684233
710,5,39.73408405,40.57356611,0.59192276,0.718868256,8,0.967414117,0.973806836
711,4,33.86911918,34.17688798,1.429363251,1.44103241,8,0.932705177,0.937097907
712,4,32.8873049,33.09158231,1.464241028,1.486995697,8,0.868790873,0.874480525
713,4,37.2582572,37.62790179,1.079647064,1.065822601,8,0.951675393,0.953785109
714,1,35.13224648,35.23161479,1.1525383,1.108276367,8,0.944339712,0.945222786
715,1,34.98912658,35.15502284,1.359718323,1.35137558,8,0.935550321,0.937171228
716,4,31.49268526,31.70920441,1.958755493,2.031299591,8,0.922115667,0.92943944
717,7,36.44521015,36.62439449,0.885890961,0.975898743,8,0.958723087,0.962091165
718,6,35.23366418,35.89725666,1.152557373,1.413181305,8,0.941163988,0.952685675
719,4,37.43941286,37.90441581,0.990837097,0.987785339,8,0.954438014,0.957038128
720,4,33.93287869,34.3031641,1.469696045,1.516265869,8,0.934897182,0.942424359
721,1,31.08711692,31.19118506,2.317424774,2.225418091,8,0.916905813,0.917088419
722,1,35.28707637,35.38981046,1.34709549,1.337711334,8,0.951202244,0.951843619
723,4,35.05447744,35.32873042,1.264614105,1.254852295,8,0.921212316,0.925205558
724,4,34.60191852,35.07465131,1.409553528,1.393100739,8,0.942176215,0.947962283
725,5,37.67946735,38.49121819,0.932872772,1.141578674,8,0.962840242,0.971154305
726,4,32.49595672,32.77270033,1.741996765,1.79347229,8,0.907680302,0.917721365
727,6,33.91720967,34.51010299,1.376937866,1.70117569,8,0.911815873,0.928969395
728,6,39.70360508,40.52261554,0.632919312,0.747974396,8,0.974165317,0.979108968
729,0,33.71203032,34.56585319,1.468616486,1.848575592,8,0.928178126,0.946227419
730,4,35.22007517,35.53529398,1.267398834,1.28175354,8,0.941795819,0.946495874
731,6,36.57050477,37.21034124,0.878303528,1.074790955,8,0.950469801,0.961881052
732,8,40.15086772,41.05605179,0.59104538,0.606761932,8,0.970827186,0.975690524
733,4,32.37917473,32.61814426,1.653614044,1.752803802,8,0.921016644,0.92803259
734,4,31.47376484,31.67425121,1.989818573,2.117916107,8,0.923967914,0.930148478
735,4,36.82016784,37.21596471,1.028556824,0.997680664,8,0.931848817,0.935634116
736,6,40.32032659,41.45530724,0.613735199,0.774559021,8,0.957368234,0.967568847
737,6,36.480707,37.07118359,1.056873322,1.245769501,8,0.957803277,0.964798799
738,4,34.98131151,35.19440395,1.441547394,1.435756683,8,0.948672395,0.950765269
739,1,32.25541727,32.34181865,1.899841309,1.905536652,8,0.935651212,0.937431487
740,4,33.7237892,34.03774517,1.528865814,1.601348877,8,0.920912243,0.927480831
741,1,33.75589785,33.85090565,1.700992584,1.707294464,8,0.94340645,0.944425459
742,5,37.97862766,38.85463372,0.892868042,1.101570129,8,0.955379531,0.963783073
743,4,33.66986288,33.86695313,1.331134796,1.390197754,8,0.89603835,0.901324669
744,5,36.22331161,37.05957144,1.042327881,1.336746216,8,0.928884655,0.942733105
745,5,32.45736356,32.92485326,1.617736816,2.009464264,8,0.901229637,0.918161309
746,8,41.26230014,42.07602,0.592601776,0.591941833,8,0.968021264,0.972067575
747,1,31.91916374,32.03763072,1.852958679,1.861362457,8,0.915039061,0.918422469
748,5,37.02282341,37.95549754,0.932533264,1.23210907,8,0.907408031,0.926360166
749,1,33.95211406,34.01987536,1.372329712,1.400238037,8,0.903779204,0.906193774
750,1,36.2405804,36.33938587,1.005039215,1.014144897,8,0.923054045,0.924081616
751,5,37.90450545,38.90551155,0.903743744,1.16815567,8,0.933148283,0.948766044
752,0,36.43797112,37.47865291,0.954967499,1.215087891,8,0.961303347,0.970340666
753,0,33.17812574,33.99616787,1.748790741,2.181999207,8,0.958187719,0.96948795
754,1,32.35837322,32.40963639,1.661754608,1.6769104,8,0.888256109,0.892305233
755,0,34.92814761,35.88621681,1.244525909,1.540351868,8,0.969401473,0.977710369
756,4,32.6292995,32.9217946,1.386138916,1.365207672,8,0.835379395,0.840295066
757,4,37.18683733,37.4216751,1.17350769,1.155040741,8,0.962583857,0.963801521
758,1,36.24373235,36.32516147,1.277042389,1.270050049,8,0.9647074,0.964995776
759,4,33.5020812,33.76021726,1.416297913,1.48374176,8,0.904091575,0.90985494
760,0,30.99974965,31.58409639,2.055915833,2.736030579,8,0.89888176,0.928964915
